transaction_id,client_id,bank,sender_account,receiver_account,amount_kzt,category,city,device_type,transaction_date,status,is_fraud,fraud_reason,description
8ad94414-9f09-4a1c-8826-3fd78ecdb2fb,710922412037,Kaspi Bank,KZ905123496327070512,KZ812540996263964914,32161,Онлайн-покупки,Усть-Каменогорск,ussd,2025-11-21 10:28:00,pending,0,,Онлайн-покупки - Усть-Каменогорск
512d1f8f-d13a-4efe-a104-aa6efa931a8d,670514467078,ForteBank,KZ947579493143681123,KZ181707027985801243,110982,Развлечения,Семей,pos_terminal,2025-08-17 21:06:00,completed,0,,Развлечения - Семей
d8c5c71f-6fb0-4012-8629-773e80f3611d,681120467573,Bank CenterCredit,KZ937541341245977941,KZ916253238273502243,34069,Образование,Атырау,pos_terminal,2026-02-05 05:35:00,completed,0,,Образование - Атырау
c29374b1-5ff9-4a6f-a5a8-e9a60b9aadda,681012343695,Нурбанк,KZ915003396005377560,KZ249044043637392438,11805,Транспорт,Атырау,web,2026-02-23 05:48:00,completed,0,,Транспорт - Атырау
b33eb7a2-6de0-410f-8b8e-4fb056994400,910227441329,ATF Bank,KZ879381067568250642,KZ824360584515682321,6955,Образование,Павлодар,atm,2025-09-02 14:17:00,completed,0,,Образование - Павлодар
ee4a27cf-be08-45ac-bbec-1b04887cebd9,660727469066,ForteBank,KZ672128594403184846,KZ908613134936502901,35241,Снятие наличных,Шымкент,ussd,2025-12-25 03:17:00,completed,0,,Снятие наличных - Шымкент
fafb0a78-89eb-49b9-bade-7ff02a41bd7b,990622469254,Евразийский Банк,KZ487712094747319048,KZ992224513749876992,8394529,Медицина,Актобе,atm,2025-10-11 17:46:00,completed,1,international_transfer,Медицина - Актобе
b0d4d6af-8ee4-4efa-a331-2fec84689bfd,851014371682,Kaspi Bank,KZ226201383484134189,KZ845868274346986567,8614,Транспорт,Астана,ussd,2025-09-04 12:59:00,completed,0,,Транспорт - Астана
c240a03f-37dc-4ac9-bbc1-d4a6087cb153,640308440926,Нурбанк,KZ881178170340667410,KZ699515412735442678,119903,Снятие наличных,Костанай,atm,2025-10-27 09:11:00,failed,0,,Снятие наличных - Костанай
51e8261a-cb7d-4698-be60-c3b7762ec8a0,660712436387,Евразийский Банк,KZ848468275366394120,KZ289690299345594378,57208,Ресторан,Актобе,mobile_app,2025-10-22 15:34:00,pending,0,,Ресторан - Актобе
b91adb74-9c4b-4d41-a531-76ca143b3375,810710478684,Kaspi Bank,KZ108941269932237570,KZ349611932383302186,11521,Развлечения,Семей,web,2026-01-21 05:35:00,pending,0,,Развлечения - Семей
0d8d73b2-1427-4c67-afd1-3ae2b6acbbf6,860515433461,ATF Bank,KZ826564983530849869,KZ467068094101787315,80325,Оплата товаров,Тараз,atm,2026-02-13 07:39:00,completed,0,,Оплата товаров - Тараз
0b376037-54f4-447a-a593-207173e4e5fe,990216379988,Bank CenterCredit,KZ756381366468129694,KZ416564146698422307,3339,Транспорт,Шымкент,pos_terminal,2025-12-05 13:42:00,completed,0,,Транспорт - Шымкент
c829ebfe-936e-49f7-85af-07e4fa1d772f,780808374647,Сбербанк Казахстан,KZ136644542140088398,KZ396498859928599745,14651,Снятие наличных,Усть-Каменогорск,mobile_app,2025-12-09 13:46:00,completed,0,,Снятие наличных - Усть-Каменогорск
